Date,Infected,Dead,Recovered
2020-02-24,0.0,0.0,2.0
2020-02-25,4.0,0.0,2.0
2020-02-26,11.0,0.0,2.0
2020-02-27,13.0,0.0,2.0
2020-02-28,30.0,0.0,2.0
2020-02-29,43.0,0.0,2.0
2020-03-01,82.0,0.0,2.0
2020-03-02,118.0,0.0,2.0
2020-03-03,162.0,1.0,2.0
2020-03-04,218.0,2.0,2.0
2020-03-05,254.0,3.0,2.0
2020-03-06,393.0,5.0,2.0
2020-03-07,460.0,10.0,30.0
2020-03-08,626.0,17.0,30.0
2020-03-09,1013.0,28.0,32.0
2020-03-10,1628.0,35.0,32.0
2020-03-11,2040.0,54.0,183.0
2020-03-12,2039.0,55.0,183.0
2020-03-13,4906.0,133.0,193.0
2020-03-14,5679.0,195.0,517.0
2020-03-15,6992.0,289.0,517.0
2020-03-16,9070.0,342.0,530.0
2020-03-17,10187.0,533.0,1028.0
2020-03-18,12206.0,623.0,1081.0
2020-03-19,16026.0,830.0,1107.0
2020-03-20,17779.0,1043.0,1588.0
2020-03-21,21874.0,1375.0,2125.0
2020-03-22,24421.0,1772.0,2575.0
2020-03-23,30250.0,2311.0,2575.0
2020-03-24,33283.0,2808.0,3794.0
2020-03-25,40501.0,3647.0,5367.0
2020-03-26,46406.0,4365.0,7015.0
2020-03-27,51224.0,5138.0,9357.0
2020-03-28,54968.0,5982.0,12285.0
2020-03-29,58598.0,6803.0,14709.0
2020-03-30,63460.0,7716.0,16780.0
2020-03-31,68200.0,8464.0,19259.0
2020-04-01,72084.0,9387.0,22647.0
2020-04-02,74974.0,10348.0,26743.0
2020-04-03,77488.0,11198.0,30513.0
2020-04-04,80002.0,11947.0,34219.0
2020-04-05,80925.0,12641.0,38080.0
2020-04-06,82897.0,13341.0,40437.0
2020-04-07,84689.0,14045.0,43208.0
2020-04-08,85407.0,14792.0,48021.0
2020-04-09,85610.0,15447.0,52165.0
2020-04-10,86524.0,16081.0,55668.0
2020-04-11,87312.0,16606.0,59109.0
2020-04-12,87231.0,17209.0,62391.0
2020-04-13,87616.0,17756.0,64727.0
2020-04-14,86981.0,18056.0,67504.0
2020-04-15,88083.0,18708.0,70853.0
2020-04-16,90836.0,19315.0,74797.0
2020-04-17,96040.0,20002.0,74797.0
2020-04-18,96886.0,20043.0,74797.0
2020-04-19,100864.0,20453.0,77357.0
2020-04-20,98771.0,20852.0,80587.0
2020-04-21,100382.0,21282.0,82514.0
2020-04-22,100757.0,21717.0,85915.0
2020-04-23,101617.0,22157.0,89250.0
2020-04-24,88111.0,22524.0,92355.0
2020-04-25,87295.0,22902.0,95708.0
2020-04-26,86072.0,23190.0,98372.0
2020-04-27,85069.0,23521.0,100875.0
2020-04-28,84403.0,23822.0,102548.0
2020-04-29,79695.0,24275.0,108947.0
2020-04-30,76842.0,24543.0,112050.0
2020-05-01,78623.0,24543.0,112050.0
2020-05-02,74234.0,25100.0,117248.0
2020-05-03,73300.0,25264.0,118902.0
2020-05-04,71240.0,25428.0,121343.0
2020-05-05,70230.0,25613.0,123486.0
2020-05-06,68466.0,25857.0,126002.0
2020-05-07,66866.0,26070.0,128511.0
2020-05-08,65410.0,26299.0,131148.0
2020-05-09,63148.0,26478.0,133952.0
2020-05-10,61563.0,26621.0,136166.0
2020-05-11,63553.0,26744.0,137139.0
2020-05-12,62130.0,26920.0,138980.0
2020-05-13,60764.0,27104.0,140823.0
2020-05-14,58845.0,27321.0,143374.0
2020-05-15,57941.0,27459.0,144783.0
2020-05-16,56689.0,27563.0,146446.0
2020-05-17,56689.0,27563.0,146446.0
2020-05-18,53521.0,27709.0,150376.0
2020-05-19,53883.0,27778.0,150376.0
2020-05-20,54291.0,27888.0,150376.0
2020-05-21,54721.0,27940.0,150376.0
2020-05-22,55820.0,28628.0,150376.0
2020-05-23,56236.0,28678.0,150376.0
2020-05-24,56644.0,28752.0,150376.0
2020-05-25,58190.0,26834.0,150376.0
2020-05-26,58766.0,27117.0,150376.0
2020-05-27,58766.0,27117.0,150376.0
2020-05-28,60411.0,27119.0,150376.0
2020-05-29,61067.0,27121.0,150376.0
2020-05-30,61727.0,27125.0,150376.0
2020-05-31,61976.0,27127.0,150376.0
2020-06-01,62135.0,27127.0,150376.0
2020-06-02,62429.0,27127.0,150376.0
2020-06-03,62822.0,27128.0,150376.0
2020-06-04,63151.0,27133.0,150376.0
2020-06-05,63468.0,27134.0,150376.0
2020-06-06,63799.0,27135.0,150376.0
2020-06-07,64038.0,27136.0,150376.0
2020-06-08,64205.0,27136.0,150376.0
2020-06-09,64454.0,27136.0,150376.0
2020-06-10,64768.0,27136.0,150376.0
2020-06-11,65195.0,27136.0,150376.0
2020-06-12,65697.0,27136.0,150376.0
2020-06-13,66093.0,27136.0,150376.0
2020-06-14,66416.0,27136.0,150376.0
2020-06-15,66597.0,27136.0,150376.0
2020-06-16,66816.0,27136.0,150376.0
2020-06-17,67171.0,27136.0,150376.0
2020-06-18,67756.0,27136.0,150376.0
2020-06-19,66884.0,28315.0,150376.0
2020-06-20,67240.0,28322.0,150376.0
2020-06-21,67573.0,28323.0,150376.0
2020-06-22,67804.0,28324.0,150376.0
2020-06-23,68051.0,28325.0,150376.0
2020-06-24,68383.0,28327.0,150376.0
2020-06-25,68780.0,28330.0,150376.0
2020-06-26,69191.0,28338.0,150376.0
2020-06-27,69752.0,28341.0,150376.0
2020-06-28,70051.0,28343.0,150376.0
2020-06-29,70248.0,28346.0,150376.0
2020-06-30,70540.0,28355.0,150376.0
2020-07-01,70919.0,28364.0,150376.0
2020-07-02,71359.0,28368.0,150376.0
2020-07-03,71784.0,28385.0,150376.0
2020-07-04,71784.0,28385.0,150376.0
2020-07-05,71784.0,28385.0,150376.0
2020-07-06,73025.0,28388.0,150376.0
2020-07-07,73362.0,28392.0,150376.0
2020-07-08,73741.0,28396.0,150376.0
2020-07-09,74279.0,28401.0,150376.0
2020-07-10,75129.0,28403.0,150376.0
2020-07-11,75129.0,28403.0,150376.0
2020-07-12,75129.0,28403.0,150376.0
2020-07-13,77171.0,28406.0,150376.0
2020-07-14,77834.0,28409.0,150376.0
2020-07-15,78705.0,28413.0,150376.0
2020-07-16,80063.0,28416.0,150376.0
2020-07-17,81459.0,28420.0,150376.0
2020-07-18,81459.0,28420.0,150376.0
2020-07-19,81459.0,28420.0,150376.0
2020-07-20,86038.0,28422.0,150376.0
2020-07-21,87394.0,28424.0,150376.0
2020-07-22,88749.0,28426.0,150376.0
2020-07-23,91361.0,28429.0,150376.0
2020-07-24,93613.0,28432.0,150376.0
2020-07-25,93613.0,28432.0,150376.0
2020-07-26,93613.0,28432.0,150376.0
2020-07-27,99972.0,28434.0,150376.0
2020-07-28,101798.0,28436.0,150376.0
2020-07-29,103824.0,28441.0,150376.0
2020-07-30,106611.0,28443.0,150376.0
2020-07-31,109701.0,28445.0,150376.0
2020-08-01,109701.0,28445.0,150376.0
2020-08-02,109701.0,28445.0,150376.0
2020-08-03,118206.0,28472.0,150376.0
2020-08-04,123940.0,28498.0,150376.0
2020-08-05,126892.0,28499.0,150376.0
2020-08-06,130979.0,28500.0,150376.0
2020-08-07,135483.0,28503.0,150376.0
2020-08-08,135483.0,28503.0,150376.0
2020-08-09,135483.0,28503.0,150376.0
2020-08-10,144028.0,28576.0,150376.0
2020-08-11,147655.0,28581.0,150376.0
2020-08-12,150829.0,28579.0,150376.0
2020-08-13,158353.0,28605.0,150376.0
2020-08-14,163820.0,28617.0,150376.0
2020-08-15,163820.0,28617.0,150376.0
2020-08-16,163820.0,28617.0,150376.0
2020-08-17,180060.0,28646.0,150376.0
2020-08-18,185150.0,28670.0,150376.0
2020-08-19,191694.0,28797.0,150376.0
2020-08-20,198717.0,28813.0,150376.0
2020-08-21,206840.0,28838.0,150376.0
2020-08-22,206840.0,28838.0,150376.0
2020-08-23,206840.0,28838.0,150376.0
2020-08-24,226188.0,28872.0,150376.0
2020-08-25,233253.0,28924.0,150376.0
2020-08-26,240502.0,28971.0,150376.0
2020-08-27,250135.0,28996.0,150376.0
2020-08-28,259899.0,29011.0,150376.0
2020-08-29,259899.0,29011.0,150376.0
2020-08-30,259899.0,29011.0,150376.0
2020-08-31,283388.0,29094.0,150376.0
2020-09-01,291445.0,29152.0,150376.0
2020-09-02,299984.0,29194.0,150376.0
2020-09-03,308903.0,29234.0,150376.0
2020-09-04,319195.0,29418.0,150376.0
2020-09-05,319195.0,29418.0,150376.0
2020-09-06,319195.0,29418.0,150376.0
2020-09-07,345657.0,29516.0,150376.0
2020-09-08,354543.0,29594.0,150376.0
2020-09-09,363375.0,29628.0,150376.0
2020-09-10,374068.0,29699.0,150376.0
2020-09-11,386203.0,29747.0,150376.0
2020-09-12,386203.0,29747.0,150376.0
2020-09-13,386203.0,29747.0,150376.0
2020-09-14,413506.0,29848.0,150376.0
2020-09-15,422787.0,30004.0,150376.0
2020-09-16,433741.0,30243.0,150376.0
2020-09-17,444870.0,30405.0,150376.0
2020-09-18,459169.0,30495.0,150376.0
2020-09-19,459169.0,30495.0,150376.0
2020-09-20,459169.0,30495.0,150376.0
2020-09-21,490429.0,30663.0,150376.0
2020-09-22,500987.0,30904.0,150376.0
2020-09-23,512146.0,31034.0,150376.0
2020-09-24,522715.0,31118.0,150376.0
2020-09-25,534873.0,31232.0,150376.0
2020-09-26,534873.0,31232.0,150376.0
2020-09-27,534873.0,31232.0,150376.0
2020-09-28,566479.0,31411.0,150376.0
2020-09-29,566479.0,31411.0,150376.0
2020-09-30,587021.0,31791.0,150376.0
2020-10-01,596258.0,31973.0,150376.0
2020-10-02,607470.0,32086.0,150376.0
2020-10-03,607470.0,32086.0,150376.0
2020-10-04,607470.0,32086.0,150376.0
2020-10-05,630811.0,32225.0,150376.0
2020-10-06,642548.0,32486.0,150376.0
2020-10-07,652963.0,32562.0,150376.0
2020-10-08,665260.0,32688.0,150376.0
2020-10-09,677807.0,32929.0,150376.0
2020-10-10,677807.0,32929.0,150376.0
2020-10-11,677807.0,32929.0,150376.0
2020-10-12,705468.0,33124.0,150376.0
2020-10-13,712506.0,33204.0,150376.0
2020-10-14,724267.0,33413.0,150376.0
2020-10-15,737445.0,33553.0,150376.0
2020-10-16,752409.0,33775.0,150376.0
2020-10-17,752409.0,33775.0,150376.0
2020-10-18,752409.0,33775.0,150376.0
2020-10-19,790081.0,33992.0,150376.0
2020-10-20,803736.0,34210.0,150376.0
2020-10-21,820553.0,34366.0,150376.0
2020-10-22,841384.0,34521.0,150376.0
2020-10-23,861004.0,34752.0,150376.0
2020-10-24,861004.0,34752.0,150376.0
2020-10-25,861004.0,34752.0,150376.0
2020-10-26,912913.0,35031.0,150376.0
2020-10-27,931064.0,35298.0,150376.0
2020-10-28,950661.0,35466.0,150376.0
2020-10-29,974068.0,35639.0,150376.0
2020-10-30,999424.0,35878.0,150376.0
2020-10-31,999424.0,35878.0,150376.0
2020-11-01,999424.0,35878.0,150376.0
2020-11-02,1054064.0,36257.0,150376.0
2020-11-03,1072495.0,36495.0,150376.0
2020-11-04,1095914.0,38118.0,150376.0
2020-11-05,1117454.0,38486.0,150376.0
2020-11-06,1139623.0,38833.0,150376.0
2020-11-07,1139623.0,38833.0,150376.0
2020-11-08,1139623.0,38833.0,150376.0
2020-11-09,1191497.0,39345.0,150376.0
2020-11-10,1191497.0,39345.0,150376.0
2020-11-11,1227228.0,40105.0,150376.0
2020-11-12,1246383.0,40461.0,150376.0
2020-11-13,1267446.0,40769.0,150376.0
2020-11-14,1267446.0,40769.0,150376.0
2020-11-15,1267446.0,40769.0,150376.0
2020-11-16,1305235.0,41253.0,150376.0
2020-11-17,1317959.0,41688.0,150376.0
2020-11-18,1332926.0,42039.0,150376.0
2020-11-19,1348907.0,42291.0,150376.0
2020-11-20,1363735.0,42619.0,150376.0
2020-11-21,1363735.0,42619.0,150376.0
2020-11-22,1363735.0,42619.0,150376.0
2020-11-23,1389109.0,43131.0,150376.0
2020-11-24,1400800.0,43668.0,150376.0
2020-11-25,1410653.0,44037.0,150376.0
2020-11-26,1422605.0,44374.0,150376.0
2020-11-27,1433164.0,44668.0,150376.0
2020-11-28,1433164.0,44668.0,150376.0
2020-11-29,1433164.0,44668.0,150376.0
2020-11-30,1452742.0,45069.0,150376.0
2020-12-01,1460557.0,45511.0,150376.0
2020-12-02,1469615.0,45784.0,150376.0
2020-12-03,1479488.0,46038.0,150376.0
2020-12-04,1488019.0,46252.0,150376.0
2020-12-05,1488019.0,46252.0,150376.0
2020-12-06,1488019.0,46252.0,150376.0
2020-12-07,1505306.0,46646.0,150376.0
2020-12-08,1505306.0,46646.0,150376.0
2020-12-09,1514706.0,47019.0,150376.0
2020-12-10,1522336.0,47344.0,150376.0
2020-12-11,1532575.0,47624.0,150376.0
2020-12-12,1532575.0,47624.0,150376.0
2020-12-13,1532575.0,47624.0,150376.0
2020-12-14,1553495.0,48013.0,150376.0
2020-12-15,1563435.0,48401.0,150376.0
2020-12-16,1574318.0,48596.0,150376.0
2020-12-17,1586268.0,48777.0,150376.0
2020-12-18,1597934.0,48926.0,150376.0
2020-12-19,1597934.0,48926.0,150376.0
2020-12-20,1597934.0,48926.0,150376.0
2020-12-21,1619613.0,49260.0,150376.0
2020-12-22,1630007.0,49520.0,150376.0
2020-12-23,1642215.0,49698.0,150376.0
2020-12-24,1654751.0,49824.0,150376.0
